opencpnName,category,matchKind,esriName,opencpnColorRefs,opencpnDayColors,opencpnBitmap,matchReason
"NMKRCD02","POINT","UNRESOLVED","","ACHBLKBCHYLW","","rastersymbols-day.png:217,358,22x10@11,5","no exact/direct/semantic ESRI match; generic category fallback disabled"
"NMKRCD03","POINT","UNRESOLVED","","ACHBLKBCHWHTCCHGRN","","rastersymbols-day.png:249,358,15x15@7,7","no exact/direct/semantic ESRI match; generic category fallback disabled"
"NMKRCD04","POINT","UNRESOLVED","","ACHBLKBCHGRNCCHWHT","","rastersymbols-day.png:274,358,15x15@7,7","no exact/direct/semantic ESRI match; generic category fallback disabled"
"BOYLAT50","POINT","CUSTOM_SYMBOL_MAP","Q23a_Pillar_buoy.svg","ACHREDbOUTLW","","rastersymbols-day.png:299,358,16x13@8,6","CustomSymbolMap object rule for BOYLAT"
"BOYLAT51","POINT","CUSTOM_SYMBOL_MAP","Q23a_Pillar_buoy.svg","ACHGRNBOUTLW","","rastersymbols-day.png:325,358,14x14@9,9","CustomSymbolMap object rule for BOYLAT"
"LIGHTS14","POINT","SEMANTIC_TOKEN","S1_Ra_transponder_wLight.svg","PCHMGD^CHBLK","","rastersymbols-day.png:349,358,10x24@4,21","semantic token match for LIGHTS"
"LITDEF11","POINT","SEMANTIC_TOKEN","S1_Ra_transponder_wLight.svg","ICHMGD","","rastersymbols-day.png:369,358,8x21@3,21","semantic token match for LITDEF"
"OBSTRN11","POINT","CUSTOM_SYMBOL_MAP","Q42_Ground_tackle.svg","ACSTLNBLANDA","","rastersymbols-day.png:387,358,9x9@3,3","CustomSymbolMap object rule for OBSTRN"
"DAYTRI52","POINT","UNRESOLVED","","ADEPMDBCHBLKDCHREDCPLRTE","","rastersymbols-day.png:406,358,17x33@8,30","no exact/direct/semantic ESRI match; generic category fallback disabled"
"DAYSQR51","POINT","UNRESOLVED","","ADEPMDBCHBLKDCHGRNCRADLO","","rastersymbols-day.png:483,358,15x33@7,29","no exact/direct/semantic ESRI match; generic category fallback disabled"
"DAYTRI51","POINT","UNRESOLVED","","ADEPMDBCHBLKDCHREDCPLRTE","","rastersymbols-day.png:624,358,17x33@8,30","no exact/direct/semantic ESRI match; generic category fallback disabled"
"DAYREC51","POINT","UNRESOLVED","","ADEPMDBCHBLKCCHREDDCHWHT","","rastersymbols-day.png:651,358,13x34@6,31","no exact/direct/semantic ESRI match; generic category fallback disabled"
"LIGHTS95","POINT","SEMANTIC_TOKEN","S1_Ra_transponder_wLight.svg","ACSTLNBCHGRN","","rastersymbols-day.png:674,358,35x35@17,17","semantic token match for LIGHTS"
"LIGHTS94","POINT","SEMANTIC_TOKEN","S1_Ra_transponder_wLight.svg","ACSTLNBCHYLW","","rastersymbols-day.png:719,358,47x47@23,23","semantic token match for LIGHTS"
"LIGHTS96","POINT","SEMANTIC_TOKEN","S1_Ra_transponder_wLight.svg","ACSTLNBCHRED","","rastersymbols-day.png:776,358,41x41@20,20","semantic token match for LIGHTS"
"LIGHTS90","POINT","SEMANTIC_TOKEN","S1_Ra_transponder_wLight.svg","ACSTLNBCHMGD","","rastersymbols-day.png:827,358,35x35@17,17","semantic token match for LIGHTS"
"LIGHTS91","POINT","SEMANTIC_TOKEN","S1_Ra_transponder_wLight.svg","ACSTLNBCHYLW","","rastersymbols-day.png:872,358,33x33@16,16","semantic token match for LIGHTS"
"LIGHTS92","POINT","SEMANTIC_TOKEN","S1_Ra_transponder_wLight.svg","ACSTLNBCHGRN","","rastersymbols-day.png:915,358,21x21@10,10","semantic token match for LIGHTS"
"LIGHTS93","POINT","SEMANTIC_TOKEN","S1_Ra_transponder_wLight.svg","ACSTLNBCHRED","","rastersymbols-day.png:946,358,27x27@13,13","semantic token match for LIGHTS"
"BOYPIL78","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCCHREDDCHWHT","","rastersymbols-day.png:983,358,18x18@9,14","semantic token match for BOYPIL"
"BOYPIL79","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCCHGRNDCHWHT","","rastersymbols-day.png:1011,358,18x18@9,14","semantic token match for BOYPIL"
